[2023-11-22 12:39:16,455: INFO: main: Welcome to custom log]
[2023-11-22 14:49:44,934: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:49:44,936: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 14:49:44,937: INFO: common: created directory at: artifacts]
[2023-11-22 14:49:44,937: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 14:52:04,289: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:52:04,290: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 14:52:04,291: INFO: common: created directory at: artifacts]
[2023-11-22 14:52:04,291: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 14:52:17,448: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:52:17,449: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 14:52:17,450: INFO: common: created directory at: artifacts]
[2023-11-22 14:52:17,450: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 14:54:03,757: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:54:37,527: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 14:55:50,245: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:56:38,003: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:57:54,654: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:58:21,869: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:58:21,871: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 14:58:21,871: INFO: common: created directory at: artifacts]
[2023-11-22 14:58:21,872: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 14:58:49,676: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:58:49,677: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 14:58:49,678: INFO: common: created directory at: artifacts]
[2023-11-22 14:58:49,678: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 14:59:11,417: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 14:59:11,418: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 14:59:11,419: INFO: common: created directory at: artifacts]
[2023-11-22 14:59:11,419: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 15:00:01,600: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 15:00:01,601: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 15:00:01,601: INFO: common: created directory at: artifacts]
[2023-11-22 15:00:01,602: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 15:00:29,417: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 15:00:29,418: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 15:00:29,418: INFO: common: created directory at: artifacts]
[2023-11-22 15:00:29,418: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 15:01:39,981: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 15:01:39,983: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 15:01:39,983: INFO: common: created directory at: artifacts]
[2023-11-22 15:01:39,984: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 15:02:21,142: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 15:02:40,941: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-11-22 15:02:40,942: INFO: common: yaml file: params.yaml loaded successfully]
[2023-11-22 15:02:40,943: INFO: common: created directory at: artifacts]
[2023-11-22 15:02:40,943: INFO: common: created directory at: artifacts/data_ingestion]
[2023-11-22 15:02:40,943: INFO: 57559387: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-22 15:02:47,712: INFO: 57559387: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-11-22 15:57:58,642: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2023-11-22 15:57:58,644: INFO: common: yaml file: config/config.yaml loaded successfully]
